ts,free_gb,inactive_gb,lms_models_loaded,lms_status
2026-09-19T19:43:54Z,35.50,40.83,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:43:59Z,35.39,31.53,1,";IDENTIFIER            MODEL                 STATUS              SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    PR"
2026-09-19T19:44:04Z,34.51,32.08,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T19:44:09Z,34.57,32.09,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T19:44:15Z,34.93,32.06,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T19:44:20Z,34.91,32.06,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T19:44:25Z,34.97,32.06,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T19:44:30Z,34.97,32.09,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T19:44:35Z,35.02,32.07,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T19:44:40Z,34.69,32.14,1,";IDENTIFIER            MODEL                 STATUS              SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    PR"
2026-09-19T19:44:46Z,34.55,32.14,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T19:44:51Z,34.16,32.13,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T19:44:56Z,34.35,32.63,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:45:01Z,33.86,34.94,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:45:06Z,33.77,39.88,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:45:12Z,34.15,40.90,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:45:17Z,34.15,41.10,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:45:22Z,34.32,41.02,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:45:27Z,34.46,41.05,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:45:32Z,34.22,41.06,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:45:37Z,33.91,41.29,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:45:43Z,33.59,41.47,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:45:48Z,33.18,33.10,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T19:45:53Z,32.95,35.50,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:45:58Z,32.91,36.89,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:46:03Z,32.58,41.18,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:46:08Z,32.44,41.89,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:46:14Z,32.45,41.97,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:46:19Z,32.20,42.01,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:46:24Z,32.30,41.95,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:46:29Z,32.30,41.97,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:46:34Z,32.14,41.97,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T19:46:40Z,32.22,41.99,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
