ts,free_gb,inactive_gb,lms_models_loaded,lms_status
2026-09-19T20:15:29Z,19.67,44.76,1,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.6-35b-a3b-splash    qwen3.6-35b-a3b-splash"
2026-09-19T20:15:34Z,19.34,38.44,1,";IDENTIFIER                MODEL                     STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.6-35b-a3b-splash    qwen3.6-35b-a3b-sp"
2026-09-19T20:15:39Z,19.10,38.35,1,";IDENTIFIER                MODEL                     STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.6-35b-a3b-splash    qwen3.6-35b-a3b-sp"
2026-09-19T20:15:44Z,19.30,38.37,1,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.6-35b-a3b-splash    qwen3.6-35b-a3b-splash"
2026-09-19T20:15:49Z,18.65,38.03,1,";IDENTIFIER                MODEL                     STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.6-35b-a3b-splash    qwen3.6-35b-a3b-sp"
2026-09-19T20:15:55Z,18.59,38.21,1,";IDENTIFIER                MODEL                     STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.6-35b-a3b-splash    qwen3.6-35b-a3b-sp"
2026-09-19T20:16:00Z,17.97,38.71,1,";IDENTIFIER                MODEL                     STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.6-35b-a3b-splash    qwen3.6-35b-a3b-sp"
2026-09-19T20:16:05Z,18.14,40.21,1,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.6-35b-a3b-splash    qwen3.6-35b-a3b-splash"
2026-09-19T20:16:10Z,18.25,43.33,1,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.6-35b-a3b-splash    qwen3.6-35b-a3b-splash"
2026-09-19T20:16:15Z,18.50,46.04,1,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.6-35b-a3b-splash    qwen3.6-35b-a3b-splash"
2026-09-19T20:16:21Z,19.23,48.36,1,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.6-35b-a3b-splash    qwen3.6-35b-a3b-splash"
2026-09-19T20:16:26Z,19.00,48.50,1,";IDENTIFIER                MODEL                     STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.6-35b-a3b-splash    qwen3.6-35b-a3b-splash"
