ts,free_gb,inactive_gb,lms_models_loaded,lms_status
2026-09-19T18:18:51Z,35.42,40.04,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:18:56Z,34.90,32.50,1,";IDENTIFIER            MODEL                 STATUS              SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    PR"
2026-09-19T18:19:01Z,33.84,32.07,1,";IDENTIFIER            MODEL                 STATUS              SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    PR"
2026-09-19T18:19:07Z,34.64,32.25,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T18:19:12Z,34.56,32.44,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T18:19:17Z,34.64,32.43,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T18:19:22Z,34.60,32.44,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T18:19:27Z,34.55,32.40,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T18:19:33Z,34.47,32.40,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T18:19:38Z,34.45,32.39,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T18:19:43Z,34.54,32.39,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T18:19:48Z,34.49,32.59,1,";IDENTIFIER            MODEL                 STATUS              SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    PR"
2026-09-19T18:19:53Z,34.30,32.45,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T18:19:59Z,33.87,32.59,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T18:20:04Z,33.22,32.95,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:20:09Z,33.62,34.17,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:20:14Z,33.98,35.49,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:20:19Z,32.50,41.82,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:20:25Z,32.53,41.78,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:20:30Z,32.59,42.28,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:20:35Z,32.43,42.27,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:20:40Z,32.49,42.25,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:20:45Z,32.59,42.25,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:20:51Z,32.36,42.24,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:20:56Z,32.49,42.24,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:21:01Z,30.89,33.64,1,";IDENTIFIER            MODEL                 STATUS        SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    GENERATI"
2026-09-19T18:21:06Z,31.57,34.42,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:21:11Z,32.06,36.99,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:21:17Z,32.17,38.46,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:21:22Z,32.29,39.32,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:21:27Z,32.43,40.28,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:21:32Z,32.48,41.13,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
2026-09-19T18:21:37Z,32.48,41.94,1,";IDENTIFIER            MODEL                 STATUS    SIZE        CONTEXT    PARALLEL    DEVICE    TTL;qwen3.8-27b-splash    qwen3.8-27b-splash    IDLE      17"
